[2017-09-15 09:15:22] Shadowsocks started
[2017-09-15 09:16:37] Shadowsocks started
[2017-09-15 09:16:49] Detected: PAC file 'pac.txt' was created.
[2017-09-15 09:16:50] Detected: PAC file 'pac.txt' was changed.
[2017-09-15 09:17:24] Shadowsocks started
[2017-09-15 09:25:39] Shadowsocks started
[2017-09-15 09:26:01] Shadowsocks started
[2017-09-15 09:29:45] Shadowsocks started
[2017-09-15 09:30:04] Shadowsocks started
[2017-09-15 09:30:08] Shadowsocks started
[2017-09-15 09:34:14] Shadowsocks started
[2017-09-15 09:34:19] Shadowsocks started
[2017-09-15 09:34:23] Shadowsocks started
[2017-09-15 12:48:04] Shadowsocks started
[2017-10-04 11:47:34] 47.89.252.213:8388 timed out
[2017-10-04 11:47:34] 47.89.252.213:8388 timed out
[2017-10-04 11:47:38] 47.89.252.213:8388 timed out
[2017-10-04 11:47:40] 47.89.252.213:8388 timed out
[2017-10-04 11:47:40] 47.89.252.213:8388 timed out
[2017-10-04 11:48:11] 47.89.252.213:8388 timed out
[2017-10-04 11:48:58] 47.89.252.213:8388 timed out
[2017-10-04 11:48:58] 47.89.252.213:8388 timed out
[2017-10-04 11:48:59] 47.89.252.213:8388 timed out
[2017-10-04 11:48:59] 47.89.252.213:8388 timed out
[2017-10-04 11:49:28] 47.89.252.213:8388 timed out
[2017-10-04 11:50:06] 47.89.252.213:8388 timed out
[2017-10-04 11:50:06] 47.89.252.213:8388 timed out
[2017-10-04 11:50:06] 47.89.252.213:8388 timed out
[2017-10-04 11:50:16] 47.89.252.213:8388 timed out
[2017-10-04 11:50:17] 47.89.252.213:8388 timed out
[2017-10-04 11:51:29] 47.89.252.213:8388 timed out
[2017-10-04 11:51:29] 47.89.252.213:8388 timed out
[2017-10-04 11:51:42] 47.89.252.213:8388 timed out
[2017-10-04 11:52:19] 47.89.252.213:8388 timed out
[2017-10-04 11:57:44] 47.89.252.213:8388 timed out
[2017-10-04 11:57:49] 47.89.252.213:8388 timed out
[2017-10-04 11:57:49] 47.89.252.213:8388 timed out
[2017-10-04 11:58:20] 47.89.252.213:8388 timed out
[2017-10-04 11:58:45] 47.89.252.213:8388 timed out
[2017-10-04 11:59:16] 47.89.252.213:8388 timed out
[2017-10-04 12:00:11] 47.89.252.213:8388 timed out
[2017-10-04 12:00:11] 47.89.252.213:8388 timed out
[2017-10-04 12:00:11] 47.89.252.213:8388 timed out
[2017-10-04 12:00:11] 47.89.252.213:8388 timed out
[2017-10-04 12:00:15] 47.89.252.213:8388 timed out
[2017-10-04 12:00:42] 47.89.252.213:8388 timed out
[2017-10-04 12:00:47] 47.89.252.213:8388 timed out
[2017-10-04 12:00:47] 47.89.252.213:8388 timed out
[2017-10-04 12:00:47] 47.89.252.213:8388 timed out
[2017-10-04 12:01:05] 47.89.252.213:8388 timed out
[2017-10-04 12:01:07] 47.89.252.213:8388 timed out
[2017-10-04 12:35:32] Shadowsocks started
[2017-10-04 14:02:05] 47.89.252.213:8388 timed out
[2017-10-04 14:03:22] 47.89.252.213:8388 timed out
[2017-10-04 14:19:26] 47.89.252.213:8388 timed out
[2017-10-04 14:19:27] 47.89.252.213:8388 timed out
[2017-10-04 14:19:27] 47.89.252.213:8388 timed out
[2017-10-04 14:19:28] 47.89.252.213:8388 timed out
[2017-10-04 14:19:30] 47.89.252.213:8388 timed out
[2017-10-04 14:19:30] 47.89.252.213:8388 timed out
[2017-10-04 14:33:12] Shadowsocks started
